Week	Day	Date	Topic in Main Class$^*$	Post-class Quizzes$^{\dagger}$	Exams$^{\ddagger}$
1	Wednesday	1/19/2022	Syllabus, policies, introductions, etc.		
	F	1/21/2022	How to study for this class; department & university resources		
2	Monday	1/24/2022	Ch 1		
	W	1/26/2022	Ch 2		
	F	1/28/2022	Ch 3		
3	Monday	1/31/2022	Ch 4	Ch 1	
	W	2/2/2022	Ch 5	Ch 2	
	F	2/4/2022	Ch 6	Ch 3	
4	Monday	2/7/2022	Ch 8	Ch 4	
	W	2/9/2022	Ch 9	Ch 5	
	F	2/11/2022	Review of Part I	Ch 6	Part I Exam window opens$^{\dagger}$
5	Monday	2/14/2022	Ch 10	Ch 8	
	W	2/16/2022	Ch 11	Ch 9	Part I Exam window closes$^{\ddagger}$
	F	2/18/2022	Ch 11		
6	Monday	2/21/2022	Ch 12	Ch 10	
	W	2/23/2022	Ch 12		
	F	2/25/2022	Ch 13	Ch 11	
7	Monday	2/28/2022	Ch 13		
	W	3/2/2022	Ch 14	Ch 12	
	F	3/4/2022	Ch 14		
8	Monday	3/7/2022	Ch 15	Ch 13	
	W	3/9/2022	Ch 15		
	F	3/11/2022	Review of Part II	Ch 14	Part II Exam window opens$^{\dagger}$
9	Monday	3/14/2022	Spring Break - no classes		
	W	3/16/2022	Spring Break - no classes		
	F	3/18/2022	Spring Break - no classes		
10	Monday	3/21/2022	Ch 17	Ch 15	
	W	3/23/2022	Ch 17		Part II Exam window closes$^{\ddagger}$
	F	3/25/2022	Ch 18		
11	Monday	3/28/2022	Ch 18		
	W	3/30/2022	Ch 19	Ch 17	
	F	4/1/2022	Ch 19		
12	Monday	4/4/2022	Ch 20	Ch 18	
	W	4/6/2022	Ch 20		
	F	4/8/2022	Review of Part III	Ch 19	Part III Exam window opens$^{\dagger}$
13	Monday	4/11/2022	Ch 21		
	W	4/13/2022	Ch 21	Ch 20	Part III Exam window closes$^{\ddagger}$
	F	4/15/2022	Reading Day - no classes		
14	Monday	4/18/2022	Ch 21		
	W	4/20/2022	Ch 22		
	F	4/22/2022	Ch 22		
15	Monday	4/25/2022	Ch 22	Ch 21	
	W	4/27/2022	Ch 23		
	F	4/29/2022	Ch 23		
16	Monday	5/2/2022	Ch 7	Ch 22	
	T	5/3/2022	Review of Part IV & Ch 7$^{\S}$	Ch 23$^{||}$	
	Thursday	5/5/2022	Finals Week Begins		Part IV & Ch 7 Exam window opens$^{**}$
17	Tuesday	5/10/2022	Final Week Ends		Part IV & Ch 7 Exam window closes$^{**}$
